FoodCode	Main.food.description	X2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode	Old.Main.food.description	FoodID
11000000	Milk_human	Yes	No	0	Milk, human	11000000.0
11100000	Milk_NFS	Yes	No	0	Milk, NFS	11100000.0
11111000	Milk_whole	Yes	No	0	Milk, whole	11111000.0
11111100	Milk_low_sodium_whole	Yes	No	0	Milk, low sodium, whole	11111100.0
11111150	Milk_calcium_fortified_whole	Yes	No	0	Milk, calcium fortified, whole	11111150.0
11111160	Milk_calcium_fortified_low_fat_1_	Yes	No	0	Milk, calcium fortified, low fat (1%)	11111160.0
11111170	Milk_calcium_fortified_fat_free_skim_	Yes	No	0	Milk, calcium fortified, fat free (skim)	11111170.0
11112110	Milk_reduced_fat_2_	Yes	No	0	Milk, reduced fat (2%)	11112110.0
11112120	Milk_acidophilus_low_fat_1_	Yes	No	0	Milk, acidophilus, low fat (1%)	11112120.0
11112130	Milk_acidophilus_reduced_fat_2_	Yes	No	0	Milk, acidophilus, reduced fat (2%)	11112130.0
11112210	Milk_low_fat_1_	Yes	No	0	Milk, low fat (1%)	11112210.0
11113000	Milk_fat_free_skim_	Yes	No	0	Milk, fat free (skim)	11113000.0
11114300	Milk_lactose_free_low_fat_1_	Yes	No	0	Milk, lactose free, low fat (1%)	11114300.0
11114320	Milk_lactose_free_fat_free_skim_	Yes	No	0	Milk, lactose free, fat free (skim)	11114320.0
11114330	Milk_lactose_free_reduced_fat_2_	Yes	No	0	Milk, lactose free, reduced fat (2%)	11114330.0
11114350	Milk_lactose_free_whole	Yes	No	0	Milk, lactose free, whole	11114350.0
11115000	Buttermilk_fat_free_skim_	Yes	No	0	Buttermilk, fat free (skim)	11115000.0
11115100	Buttermilk_low_fat_1_	Yes	No	0	Buttermilk, low fat (1%)	11115100.0
11115200	Buttermilk_reduced_fat_2_	Yes	No	0	Buttermilk, reduced fat (2%)	11115200.0
11115300	Buttermilk_whole	Yes	No	0	Buttermilk, whole	11115300.0
11115400	Kefir_NS_as_to_fat_content	Yes	No	0	Kefir, NS as to fat content	11115400.0
