FoodCode	Main.food.description	X2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode	Old.Main.food.description	FoodID
11111000	Milk_whole	Yes	No	0	Milk, whole	11111000.0
11112110	Milk_reduced_fat_2_	Yes	No	0	Milk, reduced fat (2%)	11112110.0
11113000	Milk_fat_free_skim_	Yes	No	0	Milk, fat free (skim)	11113000.0
11120000	Milk_dry_reconstituted_NS_as_to_fat_content	Yes	No	0	Milk, dry, reconstituted, NS as to fat content	11120000.0
11121300	Milk_dry_reconstituted_fat_free_skim_	Yes	No	0	Milk, dry, reconstituted, fat free (skim)	11121300.0
11211400	Milk_evaporated_reduced_fat_2_	Yes	No	0	Milk, evaporated, reduced fat (2%)	11211400.0
11220000	Milk_condensed_sweetened	Yes	No	0	Milk, condensed, sweetened	11220000.0
11320000	Soy_milk	Yes	No	0	Soy milk	11320000.0
11350020	Almond_milk_unsweetened	Yes	No	0	Almond milk, unsweetened	11350020.0
11411100	Yogurt_whole_milk_plain	Yes	No	0	Yogurt, whole milk, plain	11411100.0
11434090	Yogurt_NS_as_to_type_of_milk_flavors_other_than_fruit	Yes	No	0	Yogurt, NS as to type of milk, flavors other than fruit	11434090.0
11434200	Yogurt_low_fat_milk_flavors_other_than_fruit	Yes	No	0	Yogurt, low fat milk, flavors other than fruit	11434200.0
11511000	Chocolate_milk_NFS	Yes	No	0	Chocolate milk, NFS	11511000.0
11511100	Chocolate_milk_ready_to_drink_whole	Yes	No	0	Chocolate milk, ready to drink, whole	11511100.0
11513400	Chocolate_milk_made_from_syrup_NS_as_to_type_of_milk	Yes	No	0	Chocolate milk, made from syrup, NS as to type of milk	11513400.0
11514100	Hot_chocolate_Cocoa_made_with_dry_mix_and_water	Yes	No	0	Hot chocolate / Cocoa, made with dry mix and water	11514100.0
11514120	Hot_chocolate_Cocoa_made_with_dry_mix_and_reduced_fat_milk	Yes	No	0	Hot chocolate / Cocoa, made with dry mix and reduced fat milk	11514120.0
11514310	Hot_chocolate_Cocoa_made_with_no_sugar_added_dry_mix_and_water	Yes	No	0	Hot chocolate / Cocoa, made with no sugar added dry mix and water	11514310.0
11519050	Strawberry_milk_whole	Yes	No	0	Strawberry milk, whole	11519050.0
11553120	Fruit_smoothie_with_whole_fruit_and_dairy_added_protein	Yes	No	0	Fruit smoothie, with whole fruit and dairy, added protein	11553120.0
11710000	Infant_formula_NFS	Yes	No	0	Infant formula, NFS	11710000.0
12100100	Cream_NS_as_to_light_heavy_or_half_and_half	Yes	No	0	Cream, NS as to light, heavy, or half and half	12100100.0
12110100	Cream_light	Yes	No	0	Cream, light	12110100.0
12120100	Cream_half_and_half	Yes	No	0	Cream, half and half	12120100.0
12220200	Whipped_topping	Yes	No	0	Whipped topping	12220200.0
12310100	Sour_cream_regular	Yes	No	0	Sour cream, regular	12310100.0
13110000	Ice_cream_NFS	Yes	No	0	Ice cream, NFS	13110000.0
13110100	Ice_cream_vanilla	Yes	No	0	Ice cream, vanilla	13110100.0
13110110	Ice_cream_chocolate	Yes	No	0	Ice cream, chocolate	13110110.0
13110200	Ice_cream_soft_serve_vanilla	Yes	No	0	Ice cream, soft serve, vanilla	13110200.0
13120500	Ice_cream_sandwich_vanilla	Yes	No	0	Ice cream sandwich, vanilla	13120500.0
13120790	Ice_cream_cone_vanilla_prepackaged	Yes	No	0	Ice cream cone, vanilla, prepackaged	13120790.0
