FoodCode	Main.food.description	2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode
11000000	Milk, human	Yes	No	0
11100000	Milk, NFS	Yes	No	0
11111000	Milk, whole	Yes	No	0
11111100	Milk, low sodium, whole	Yes	No	0
11111150	Milk, calcium fortified, whole	Yes	No	0
11111160	Milk, calcium fortified, low fat (1%)	Yes	No	0
11111170	Milk, calcium fortified, fat free (skim)	Yes	No	0
11112110	Milk, reduced fat (2%)	Yes	No	0
11112120	Milk, acidophilus, low fat (1%)	Yes	No	0
11112130	Milk, acidophilus, reduced fat (2%)	Yes	No	0
11112210	Milk, low fat (1%)	Yes	No	0
11113000	Milk, fat free (skim)	Yes	No	0
11114300	Milk, lactose free, low fat (1%)	Yes	No	0
11114320	Milk, lactose free, fat free (skim)	Yes	No	0
11114330	Milk, lactose free, reduced fat (2%)	Yes	No	0
11114350	Milk, lactose free, whole	Yes	No	0
11115000	Buttermilk, fat free (skim)	Yes	No	0
11115100	Buttermilk, low fat (1%)	Yes	No	0
11115200	Buttermilk, reduced fat (2%)	Yes	No	0
11115300	Buttermilk, whole	Yes	No	0
11115400	Kefir, NS as to fat content	Yes	No	0
11116000	Goat's milk, whole	Yes	No	0
11120000	Milk, dry, reconstituted, NS as to fat content	Yes	No	0
11121100	Milk, dry, reconstituted, whole	Yes	No	0
11121210	Milk, dry, reconstituted, low fat (1%)	Yes	No	0
11121300	Milk, dry, reconstituted, fat free (skim)	Yes	No	0
11210050	Milk, evaporated, NS as to fat content	Yes	No	0
11211050	Milk, evaporated, whole	Yes	No	0
11211400	Milk, evaporated, reduced fat (2%)	Yes	No	0
11212050	Milk, evaporated, fat free (skim)	Yes	No	0
11220000	Milk, condensed, sweetened	Yes	No	0
11300100	Non-dairy milk, NFS	Yes	No	0
11320000	Soy milk	Yes	No	0
11320100	Soy milk, light	Yes	No	0
11320200	Soy milk, nonfat	Yes	No	0
11321000	Soy milk, chocolate	Yes	No	0
11321100	Soy milk, light, chocolate	Yes	No	0
11321200	Soy milk, nonfat, chocolate	Yes	No	0
11350000	Almond milk, sweetened	Yes	No	0
11350010	Almond milk, sweetened, chocolate	Yes	No	0
11350020	Almond milk, unsweetened	Yes	No	0
11350021	Almond_milk	No	Yes	0
11350030	Almond milk, unsweetened, chocolate	Yes	No	0
11360000	Rice milk	Yes	No	0
11370000	Coconut milk	Yes	No	0
11400000	Yogurt, NFS	Yes	No	0
11400010	Yogurt, Greek, NS as to type of milk or flavor	Yes	No	0
11410000	Yogurt, NS as to type of milk or flavor	Yes	No	0
11411010	Yogurt, NS as to type of milk, plain	Yes	No	0
11411100	Yogurt, whole milk, plain	Yes	No	0
11411200	Yogurt, low fat milk, plain	Yes	No	0
11411300	Yogurt, nonfat milk, plain	Yes	No	0
11411390	Yogurt, Greek, NS as to type of milk, plain	Yes	No	0
11411400	Yogurt, Greek, whole milk, plain	Yes	No	0
11411410	Yogurt, Greek, low fat milk, plain	Yes	No	0
11411420	Yogurt, Greek, nonfat milk, plain	Yes	No	0
11430000	Yogurt, NS as to type of milk, fruit	Yes	No	0
11431000	Yogurt, whole milk, fruit	Yes	No	0
11432000	Yogurt, low fat milk, fruit	Yes	No	0
11433000	Yogurt, nonfat milk, fruit	Yes	No	0
11433990	Yogurt, Greek, NS as to type of milk, fruit	Yes	No	0
11434000	Yogurt, Greek, whole milk, fruit	Yes	No	0
11434010	Yogurt, Greek, low fat milk, fruit	Yes	No	0
